concept is Existence  Preservation and Conversion of Substance, accuracy is 0.2755905511811024, response is No
concept is Existence  Preservation and Conversion of Substance, accuracy is 0.6456692913385826, response is Yes
concept is Molecules and Atoms, accuracy is 0.9210526315789473, response is Yes
concept is Existence  Preservation and Conversion of Substance, accuracy is 0.09448818897637795, response is Yes
concept is Molecules and Atoms, accuracy is 0.9210526315789473, response is Yes
concept is Existence  Preservation and Conversion of Substance, accuracy is 0.8031496062992126, response is Yes
concept is Existence  Preservation and Conversion of Substance, accuracy is 0.2125984251968504, response is No
concept is Molecules and Atoms, accuracy is 0.6710526315789473, response is No
concept is Existence  Preservation and Conversion of Substance, accuracy is 0.08661417322834646, response is Yes
concept is Existence  Preservation and Conversion of Substance, accuracy is 0.031496062992125984, response is No
concept is Molecules and Atoms, accuracy is 0.5394736842105263, response is Yes
concept is Molecules and Atoms, accuracy is 1.0, response is Yes
concept is Molecules and Atoms, accuracy is 0.47368421052631576, response is No
concept is Molecules and Atoms, accuracy is 0.40789473684210525, response is No
concept is Molecules and Atoms, accuracy is 0.18421052631578946, response is Yes
concept is Molecules and Atoms, accuracy is 0.9473684210526315, response is Yes
concept is Existence  Preservation and Conversion of Substance, accuracy is 0.28346456692913385, response is No
concept is Existence  Preservation and Conversion of Substance, accuracy is 0.8267716535433071, response is Yes
concept is Existence  Preservation and Conversion of Substance, accuracy is 0.42857142857142855, response is Yes
concept is Molecules and Atoms, accuracy is 0.881578947368421, response is Yes
concept is Research Into Application of Substance Property, accuracy is 0.13513513513513514, response is No
concept is Research Into Application of Substance Property, accuracy is 0.4864864864864865, response is No
concept is Metal, accuracy is 1.0, response is Yes
concept is Research Into Application of Substance Property, accuracy is 0.972972972972973, response is Yes
concept is Metal, accuracy is 0.20930232558139536, response is Yes
concept is Research Into Application of Substance Property, accuracy is 0.5294117647058824, response is Yes
concept is Research Into Application of Substance Property, accuracy is 0.7027027027027027, response is No
concept is Metal, accuracy is 0.7906976744186046, response is Yes
concept is Research Into Application of Substance Property, accuracy is 0.5147058823529411, response is No
concept is Oxide(CO2), accuracy is 0.881578947368421, response is Yes
