concept is Integral Expressions, accuracy is 0.4342857142857143, response is Yes
concept is Line Segment, accuracy is 0.015957446808510637, response is No
concept is Integral Expressions, accuracy is 0.5454545454545454, response is Yes
concept is System of Linear Inequalities in One Variable, accuracy is 0.6197183098591549, response is Yes
concept is Integral Expressions, accuracy is 0.42613636363636365, response is Yes
concept is Integral Expressions, accuracy is 0.7407407407407407, response is Yes
concept is Integral Expressions, accuracy is 0.8166666666666667, response is Yes
concept is Integral Expressions, accuracy is 0.44, response is No
concept is Integral Expressions, accuracy is 0.34309623430962344, response is Yes
concept is Line Segment, accuracy is 0.23076923076923078, response is Yes
concept is Integral Expressions, accuracy is 0.4085106382978723, response is Yes
concept is Line Segment, accuracy is 0.24193548387096775, response is Yes
concept is Integral Expressions, accuracy is 0.39545454545454545, response is No
concept is Line Segment, accuracy is 0.26865671641791045, response is Yes
concept is Integral Expressions, accuracy is 0.4425287356321839, response is Yes
concept is System of Linear Inequalities in One Variable, accuracy is 0.7096774193548387, response is Yes
concept is Integral Expressions, accuracy is 0.27906976744186046, response is No
concept is Integral Expressions, accuracy is 0.6623931623931624, response is Yes
concept is Integral Expressions, accuracy is 0.6604938271604939, response is Yes
concept is Integral Expressions, accuracy is 0.57847533632287, response is Yes
concept is Integral Expressions, accuracy is 0.7180616740088106, response is Yes
concept is Line Segment, accuracy is 0.544973544973545, response is Yes
concept is System of Linear Inequalities in One Variable, accuracy is 0.5251798561151079, response is Yes
concept is Line Segment, accuracy is 0.20430107526881722, response is No
concept is System of Linear Inequalities in One Variable, accuracy is 0.6883116883116883, response is Yes
concept is Linear Equations in One Variable, accuracy is 0.5212264150943396, response is No
concept is Linear Equations in One Variable, accuracy is 0.533816425120773, response is Yes
concept is System of Linear Equations in Two Variables, accuracy is 0.7833333333333333, response is Yes
concept is System of Linear Inequalities in One Variable, accuracy is 0.7553191489361702, response is Yes
concept is System of Linear Equations in Two Variables, accuracy is 0.41379310344827586, response is No
concept is System of Linear Inequalities in One Variable, accuracy is 0.6195652173913043, response is No
concept is Line Segment, accuracy is 0.20430107526881722, response is No
concept is System of Linear Equations in Two Variables, accuracy is 0.5901639344262295, response is Yes
concept is Linear Equations in One Variable, accuracy is 0.4275184275184275, response is No
concept is System of Linear Inequalities in One Variable, accuracy is 0.3023255813953488, response is Yes
concept is Linear Equations in One Variable, accuracy is 0.7841191066997518, response is Yes
concept is Parallel Lines, accuracy is 0.46808510638297873, response is No
